expId,arch,numRuns,dataset,dataTransform,numLayers,hiddenDim,attnHeads,activation,weightSharing,optimizer,maxEpochs,initialLR,lrDecayFactor,lrDecayPatience,attnDropout,wghtDecay,initScheme,scalScheme,scalHP,useIdMap,useResLin,mulLastAttHead,initA1,initA2,linWghtSharing,bias,linLastLayer,hasOmega,omegaInitVal,linAggrSharing,Note
42,GAT,5,Syn_27,,5,64,1,relu,0,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
43,GATE_S,5,Syn_21,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
44,GATE_S,5,Syn_21,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
45,GATE_S,5,Syn_21,,3,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
46,GATE_S,5,Syn_22,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
47,GATE_S,5,Syn_22,,3,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
48,GATE_S,5,Syn_22,,4,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
49,GATE_S,5,Syn_23,,3,256,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
50,GATE_S,5,Syn_23,,4,256,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
51,GATE_S,5,Syn_23,,5,256,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
52,GATE_S,5,Syn_24,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,XavierN,,,0,0,,0,0,1,0,0,0,1,1,
53,GATE_S,5,Syn_24,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
54,GATE_S,5,Syn_24,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
55,GATE_S,5,Syn_25,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,XavierN,,,0,0,,0,0,1,0,0,0,1,1,
56,GATE_S,5,Syn_25,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
57,GATE_S,5,Syn_25,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
58,GATE_S,5,Syn_26,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
59,GATE_S,5,Syn_26,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
60,GATE_S,5,Syn_26,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
61,GATE_S,5,Syn_27,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
62,GATE_S,5,Syn_27,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
63,GATE_S,5,Syn_27,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
64,GAT_S,5,Syn_21,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
65,GAT_S,5,Syn_21,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
66,GAT_S,5,Syn_21,,3,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
67,GAT_S,5,Syn_22,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
68,GAT_S,5,Syn_22,,3,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
69,GAT_S,5,Syn_22,,4,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
70,GAT_S,5,Syn_23,,3,256,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
71,GAT_S,5,Syn_23,,4,256,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
72,GAT_S,5,Syn_23,,5,256,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
73,GAT_S,5,Syn_24,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,XavierN,,,0,0,,XavN,,1,0,0,0,1,1,
74,GAT_S,5,Syn_24,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
75,GAT_S,5,Syn_24,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
76,GAT_S,5,Syn_25,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,XavierN,,,0,0,,XavN,,1,0,0,0,1,1,
77,GAT_S,5,Syn_25,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
78,GAT_S,5,Syn_25,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
79,GAT_S,5,Syn_26,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
80,GAT_S,5,Syn_26,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
81,GAT_S,5,Syn_26,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
82,GAT_S,5,Syn_27,,1,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
83,GAT_S,5,Syn_27,,2,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
84,GAT_S,5,Syn_27,,5,64,1,relu,1,Adam,10000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
85,GATE_S,1,Cora,,2,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
86,GATE_S,1,Cora,,5,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
87,GATE_S,1,Cora,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
88,GAT_S,1,Cora,,2,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
89,GAT_S,1,Cora,,5,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
90,GAT_S,1,Cora,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
91,GATE_S,1,Citeseer,removeIsolatedNodes,2,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
92,GATE_S,1,Citeseer,removeIsolatedNodes,5,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
93,GATE_S,1,Citeseer,removeIsolatedNodes,10,64,1,relu,1,Adam,5000,0.0001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
94,GAT_S,1,Citeseer,removeIsolatedNodes,2,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
95,GAT_S,1,Citeseer,removeIsolatedNodes,5,64,1,relu,1,Adam,5000,0.005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
96,GAT_S,1,Citeseer,removeIsolatedNodes,10,64,1,relu,1,Adam,5000,0.0001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
97,GATE_S,1,Cora,,20,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
